t.ID,exact_kNN_score
17408,2514.741210937500000
12370,2020.288696289060000
42675,1775.152465820310000
15226,1649.907348632810000
244866,1177.802734375000000
261844,941.941040039062000
239533,745.978271484375000
143334,738.293579101562000
185220,561.695678710937000
8843,500.091522216796000
19184,478.139282226562000
21024,440.601196289062000
30802,435.654083251953000
70032,288.203247070312000
205291,181.750946044921000
80577,134.104904174804000
281697,122.583564758300000
164332,121.702209472656000
212016,115.296844482421000
231110,114.147933959960000
149358,104.571525573730000
92199,103.320068359375000
214612,98.143600463867100
79002,97.034820556640600
98431,93.569839477539000
97465,92.878730773925700
275757,92.425186157226500
267025,89.705780029296800
64790,89.494186401367100
19951,89.159973144531200
32059,88.840057373046800
226289,85.925987243652300
108903,79.832534790039000
233230,77.199836730957000
85708,77.162887573242100
188892,76.042213439941400
102111,75.640335083007800
241506,74.820793151855400
216678,74.427200317382800
66755,72.395111083984300
158866,69.232498168945300
46591,68.217445373535100
224341,68.217445373535100
281734,67.396102905273400
274553,66.876541137695300
105843,66.861648559570300
186746,66.635078430175700
67454,65.446334838867100
56853,65.307434082031200
230091,65.152282714843700
129337,62.077396392822200
140453,61.078853607177700
90552,61.025459289550700
69357,60.810703277587800
181666,60.367897033691400
160267,60.087345123291000
225633,59.645309448242100
189596,59.299636840820300
74795,58.437423706054600
12970,57.586601257324200
152170,57.408592224121000
60638,57.083244323730400
22957,56.977249145507800
276062,56.692714691162100
52399,55.294765472412100
220202,55.117424011230400
18958,54.320930480957000
12725,54.307670593261700
183446,54.307670593261700
270314,53.866699218750000
142337,53.728267669677700
82296,53.669960021972600
283472,53.056690216064400
267251,51.471305847167900
254255,51.396080017089800
172721,50.941600799560500
66577,50.724006652832000
113408,49.910560607910100
156190,49.558418273925700
110969,48.413993835449200
114804,48.413993835449200
89151,47.603805541992100
250913,47.117706298828100
58186,47.113559722900300
10964,47.075801849365200
182468,47.013633728027300
196506,46.600978851318300
8974,46.486469268798800
267156,46.464019775390600
151427,44.605587005615200
104875,44.516174316406200
219501,43.611110687255800
214250,43.071681976318300
217550,42.483383178710900
46454,41.927829742431600
217979,41.913536071777300
136710,41.664527893066400
7247,41.364467620849600
29006,41.110477447509700
147939,40.743988037109300
62447,40.196594238281200
274959,40.067993164062500
254763,39.799110412597600
31385,39.769996643066400
40309,39.465599060058500
156869,39.435836791992100
167020,39.077327728271400
143687,38.901069641113200
110469,38.741577148437500
116578,38.616001129150300
220453,38.592155456542900
227668,38.588176727294900
280185,38.336334228515600
186361,38.119407653808500
182901,36.969902038574200
75029,36.912719726562500
116993,36.528308868408200
221207,36.204994201660100
210915,36.173683166503900
229757,36.090637207031200
106506,36.073539733886700
213558,35.500778198242100
23581,35.338062286376900
201259,35.325538635253900
227397,35.168563842773400
150514,35.154739379882800
152333,35.096138000488200
191424,34.935398101806600
99790,34.883075714111300
274491,34.848155975341800
229983,34.825725555419900
156410,34.787902832031200
174945,34.762317657470700
234352,34.663124084472600
271126,34.557170867919900
35718,34.022357940673800
128932,33.623863220214800
134804,33.583637237548800
224601,33.550243377685500
95584,33.455467224121000
146088,32.798015594482400
186052,32.791000366210900
229561,32.348342895507800
104663,32.051830291748000
264999,31.796033859252900
6596,31.626417160034100
45547,31.006710052490200
106620,30.838897705078100
104130,30.803651809692300
276911,30.156297683715800
158437,30.142786026000900
115607,30.122018814086900
233529,30.086900711059500
211337,30.016792297363200
49058,30.007781982421800
187551,29.837911605834900
253751,29.695140838623000
233163,29.649509429931600
191790,29.645874023437500
49610,29.620973587036100
170147,29.503173828125000
183820,29.425687789916900
275752,29.259178161621000
231400,29.203657150268500
44074,29.203657150268500
88735,29.062467575073200
158045,29.034412384033200
154097,28.809995651245100
94999,28.731069564819300
95741,28.728572845458900
256156,28.692207336425700
87163,28.659017562866200
55119,28.502180099487300
48791,28.493665695190400
17122,28.465568542480400
22622,28.382564544677700
281426,28.343772888183500
6842,28.280117034912100
153011,28.229858398437500
1048,28.201807022094700
213541,28.195047378540000
282884,27.948585510253900
177982,27.941276550292900
204432,27.880657196044900
208247,27.788776397705000
106437,27.783782958984300
127010,27.783782958984300
94428,27.588247299194300
1831,27.470165252685500
5032,27.305912017822200
235725,27.298158645629800
150772,27.275043487548800
139044,27.112274169921800
142413,27.016880035400300
206757,27.009490966796800
55375,26.994007110595700
106929,26.922971725463800
229372,26.876724243164000
273391,26.778366088867100
240523,26.632183074951100
22014,26.594272613525300
97744,26.582416534423800
199405,26.545560836791900
34353,26.283584594726500
125218,26.014583587646400
238985,26.007476806640600
11336,25.969806671142500
211970,25.400522232055600
80547,25.198211669921800
227189,25.116621017456000
163266,24.932287216186500
146785,24.483970642089800
36438,24.396556854248000
95757,24.359344482421800
239774,24.197397232055600
236471,24.081592559814400
259648,24.023231506347600
180121,24.000602722167900
16783,23.888048171997000
277753,23.883256912231400
162839,23.801889419555600
192769,23.768854141235300
204336,23.759960174560500
272044,23.740859985351500
201296,23.728954315185500
4603,23.687950134277300
232763,23.588516235351500
235170,23.553527832031200
125283,23.474647521972600
151072,23.247575759887600
246137,23.204656600952100
219827,23.094200134277300
52318,23.073791503906200
163199,23.059280395507800
262665,23.045852661132800
107603,22.972635269165000
154536,22.955644607543900
138463,22.857160568237300
282048,22.857160568237300
268359,22.802551269531200
248975,22.704090118408200
10055,22.576267242431600
270161,22.526531219482400
12548,22.424036026000900
207937,22.386117935180600
182143,22.383377075195300
9977,22.371294021606400
155314,22.364740371704100
86518,22.349786758422800
204528,22.256872177124000
149157,22.232654571533200
157561,22.232654571533200
178066,22.214550018310500
56117,22.155933380126900
266070,22.126937866210900
177283,22.069742202758700
17645,21.993541717529200
205979,21.976778030395500
246649,21.926185607910100
171529,21.853561401367100
7859,21.815822601318300
183432,21.808343887329100
212719,21.788465499877900
245774,21.680963516235300
32369,21.666366577148400
91345,21.656934738159100
8954,21.652093887329100
127976,21.545871734619100
193243,21.518865585327100
177628,21.453815460205000
279157,21.453815460205000
178870,21.418376922607400
54898,21.370393753051700
121925,21.336826324462800
149241,21.290695190429600
158458,21.290695190429600
15860,21.268138885498000
74344,21.221599578857400
120364,21.184856414794900
122135,21.130115509033200
240110,21.089385986328100
215612,21.074026107788000
153914,21.023860931396400
237801,20.942449569702100
216546,20.915330886840800
153470,20.876535415649400
128446,20.857875823974600
85378,20.838274002075100
137461,20.830871582031200
39150,20.808612823486300
23053,20.728342056274400
150335,20.708398818969700
80676,20.707761764526300
257846,20.701362609863200
184780,20.652290344238200
159880,20.607608795166000
75334,20.544618606567300
153731,20.485345840454100
281960,20.485345840454100
29857,20.439399719238200
159459,20.430427551269500
55669,20.413860321044900
151321,20.401977539062500
200613,20.178833007812500
92108,20.172321319580000
72741,20.148162841796800
262470,20.144638061523400
269037,20.117565155029200
252872,19.921739578247000
55027,19.915731430053700
61664,19.900226593017500
256897,19.853206634521400
40593,19.800800323486300
182218,19.771980285644500
277790,19.767730712890600
256652,19.738801956176700
143031,19.603797912597600
92330,19.588069915771400
119790,19.580417633056600
4526,19.577047348022400
98228,19.556579589843700
98359,19.490129470825100
239927,19.452535629272400
274181,19.406532287597600
179742,19.406532287597600
232658,19.394035339355400
183766,19.379081726074200
218196,19.307710647583000
249364,19.291204452514600
36676,19.260568618774400
116814,19.222415924072200
250324,19.182321548461900
4253,19.176677703857400
77459,19.139957427978500
162822,19.013011932373000
193299,18.953269958496000
90965,18.941587448120100
39439,18.897184371948200
157154,18.890338897705000
135636,18.882137298583900
280423,18.799930572509700
140974,18.795557022094700
148376,18.759513854980400
1646,18.705547332763600
67361,18.682239532470700
112998,18.663467407226500
136808,18.663467407226500
32780,18.637939453125000
242166,18.629722595214800
234632,18.627792358398400
